City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,35.02,91,91,11.01,NZ,1726506749
1,flying fish cove,-10.4217,105.6791,76.68,83,100,8.05,CX,1726506750
2,niafunke,15.9322,-3.9906,90.54,47,69,11.45,ML,1726506751
3,west island,-12.1568,96.8225,78.78,73,73,19.57,CC,1726506752
4,ayaviri,-14.8864,-70.5889,64.26,23,38,6.8,PE,1726506753
5,lihue,21.9789,-159.3672,78.39,85,40,16.11,US,1726506756
6,tazovsky,67.4667,78.7,47.59,95,100,10.04,RU,1726506757
7,butte,39.6499,-121.5677,64.18,55,20,8.05,US,1726506758
8,hithadhoo,-0.6,73.0833,84.36,74,100,10.18,MV,1726506759
9,ushuaia,-54.8,-68.3,44.06,86,84,11.01,AR,1726506659
10,ndjole,-0.1783,10.7649,78.55,89,81,4.23,GA,1726506761
11,conduaga,8.862,117.4893,79.25,90,100,8.14,PH,1726506762
12,tiksi,71.6872,128.8694,34.39,91,100,17.2,RU,1726506763
13,malakal,9.5334,31.6605,75.25,93,100,4.79,SS,1726506764
14,minas de marcona,-15.2119,-75.1103,66.51,48,5,8.68,PE,1726506671
15,iqaluit,63.7506,-68.5145,36.7,86,100,15.01,CA,1726506766
16,laojunmiao,39.8333,97.7333,58.15,71,42,7.29,CN,1726506767
17,puerto natales,-51.7236,-72.4875,57.65,51,75,29.93,CL,1726506534
18,maragogi,-9.0122,-35.2225,80.35,61,27,9.69,BR,1726506769
19,uturoa,-16.7333,-151.4333,77.65,80,76,10.56,PF,1726506770
20,port-aux-francais,-49.35,70.2167,39.76,94,100,34.72,TF,1726506771
21,cannonvale,-20.2833,148.7,70.99,74,92,20.2,AU,1726506772
22,yigo village,13.5361,144.8886,79.09,93,20,14.97,GU,1726506773
23,antonio enes,-16.2325,39.9086,77.02,79,0,14.54,MZ,1726506774
24,stanley,54.868,-1.6985,60.53,69,0,4.61,GB,1726506775
25,albany,42.6001,-73.9662,80.82,55,0,1.01,US,1726506776
26,isangel,-19.55,169.2667,68.79,68,30,14.38,VU,1726506778
27,waitangi,-43.9535,-176.5597,50.83,95,100,8.01,NZ,1726506780
28,nar'yan-mar,67.6713,53.087,61.52,70,100,8.57,RU,1726506781
29,takamatsu,34.3403,134.0433,81.48,88,3,1.41,JP,1726506588
30,edinburgh of the seven seas,-37.0676,-12.3116,55.62,86,74,28.32,SH,1726506783
31,siwa oasis,29.2041,25.5195,88.75,25,0,11.12,EG,1726506784
32,yellowknife,62.456,-114.3525,51.42,99,100,8.01,CA,1726506785
33,tura,25.5198,90.2201,76.32,90,100,3.36,IN,1726506786
34,tual,-5.6667,132.75,80.04,85,87,13.76,ID,1726506787
35,mianyang,31.4593,104.7542,77.58,74,0,4.16,CN,1726506788
36,tsiombe,-25.3,45.4833,71.46,77,10,6.62,MG,1726506789
37,avarua,-21.2078,-159.775,71.65,88,20,8.05,CK,1726506790
38,antofagasta,-23.65,-70.4,63.68,70,62,7.07,CL,1726506735
39,grytviken,-54.2811,-36.5092,34.7,92,96,14.45,GS,1726506792
40,blackmans bay,-43.0167,147.3167,48.33,80,100,1.01,AU,1726506793
41,mata-utu,-13.2816,-176.1745,79.81,80,86,9.1,WF,1726506794
42,thompson,55.7435,-97.8558,64.56,63,40,3.44,CA,1726506795
43,mugia,43.1041,-9.2179,68.92,62,11,21.79,ES,1726506796
44,tabuk,17.4189,121.4443,74.08,96,100,4.68,PH,1726506797
45,puerto ayora,-0.7393,-90.3518,71.55,93,91,4.0,EC,1726506798
46,kodiak,57.79,-152.4072,47.71,81,20,3.44,US,1726506501
47,udachny,66.4167,112.4,38.73,85,100,14.63,RU,1726506800
